0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:16 +0700] "GET /jdbc1/menu/images/img-04.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:16 +0700] "GET /jdbc1/menu/images/img-05.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:16 +0700] "GET /jdbc1/menu/images/img-06.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:16 +0700] "GET /jdbc1/menu/images/img-07.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:16 +0700] "GET /jdbc1/menu/images/img-08.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:16 +0700] "GET /jdbc1/menu/images/img-09.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:16 +0700] "GET /jdbc1/menu/images/gallery-img-01.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:16 +0700] "GET /jdbc1/menu/images/gallery-img-02.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:16 +0700] "GET /jdbc1/menu/images/gallery-img-03.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:16 +0700] "GET /jdbc1/menu/images/gallery-img-04.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:16 +0700] "GET /jdbc1/menu/images/gallery-img-05.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:16 +0700] "GET /jdbc1/menu/images/gallery-img-06.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:16 +0700] "GET /jdbc1/menu/images/quotations-button.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:17 +0700] "GET /jdbc1/menu/index.html HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/list HTTP/1.1" 200 21679
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/slider-01.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/css/font-awesome.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/js/custom.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/slider-02.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/about-img.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/slider-03.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/img-02.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/img-01.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/img-03.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/img-04.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/img-05.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/img-06.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/img-08.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/img-07.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/img-09.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/gallery-img-01.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/gallery-img-02.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/gallery-img-03.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/gallery-img-04.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/gallery-img-05.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/gallery-img-06.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:20 +0700] "GET /jdbc1/menu/images/quotations-button.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/list HTTP/1.1" 200 21679
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/css/font-awesome.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/js/custom.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/slider-02.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/slider-01.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/about-img.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/slider-03.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/img-01.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/img-02.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/img-03.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/img-04.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/img-05.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/img-06.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/img-07.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/img-08.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/img-09.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/gallery-img-01.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/gallery-img-03.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/gallery-img-04.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/gallery-img-02.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/gallery-img-05.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/gallery-img-06.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/menu/images/quotations-button.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:46 +0700] "GET /jdbc1/images/favicon.ico HTTP/1.1" 200 15406
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/list HTTP/1.1" 200 21679
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/css/font-awesome.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/slider-01.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/js/custom.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/slider-02.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/slider-03.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/about-img.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/img-01.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/img-02.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/img-03.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/img-04.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/img-06.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/img-05.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/img-07.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/img-08.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/img-09.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/gallery-img-01.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/gallery-img-02.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/gallery-img-04.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:04:48 +0700] "GET /jdbc1/menu/images/gallery-img-03.jpg HTTP/1.1" 404 799
